X,Y,OBJECTID,NAME,SCHOOL_STREET_ADDRESS,SCHOOL_CITY,SCHOOL_STATE,SCHOOL_COUNTY,PUBLIC_SCHOOL_DISTRICT,FOR_PROFIT_OR_NON_PROFIT,SCHOOL_ZIP,SCHOOL_WEBSITE
-122.325123366095,47.6808575279681,54,Seattle Jewish Community School,7217 Woodlawn Ave NE,Seattle,WA,King,Seattle,Non-profit,98115,www.sjcs.net
-122.384547326648,47.5650375031865,55,Seattle Lutheran High School,4100 SW Genesee St,Seattle,WA,King,Seattle,Non-profit,98116,www.seattlelutheran.org
-122.27991365403,47.5506331002116,56,Seattle Nativity School,4200 S Mead St,Seattle,WA,King,Seattle,Non-profit,98118,http://www.seattlenativity.org
-122.316436914021,47.6413216155307,57,Seattle Preparatory School,2400 11th Ave E,Seattle,WA,King,Seattle,Non-profit,98102,www.seaprep.org
-122.304473731221,47.6036969376858,58,Seattle School for Boys,2100 E. Spruce St.,Seattle,WA,King,Seattle,Non-profit,98122,www.seattleschoolforboys.org
-122.297329533518,47.7015807543086,59,Seattle Waldorf School,2728 NE 100th St,Seattle,WA,King,Seattle,Non-profit,98125,www.seattlewaldorf.org
-122.264857911367,47.6874081013108,60,Seattle Waldorf School,7777 62nd Ave NE,Seattle,WA,King,Seattle,Non-profit,98115,www.seattlewaldorf.org
-122.326626116824,47.6999935997544,61,Spring Academy,9725 3rd Ave NE,Seattle,WA,King,Seattle,For profit,98115,https://springacademy.com/
-122.335332405342,47.6168731925929,62,Spruce Street School,914 Virginia St,Seattle,WA,King,Seattle,Non-profit,98101,www.sprucestreetschool.org
-122.375683930792,47.6711986071389,63,St. Alphonsus Parish School,5816 15th Ave NW,Seattle,WA,King,Seattle,Non-profit,98107,www.stalseattle.org/school
-122.358137693168,47.6311051109521,64,St. Anne School,101 W Lee St,Seattle,WA,King,Seattle,Non-profit,98119,www.stannesea.org
-122.336108670236,47.6640848014054,65,St. Benedict Catholic School,1805 N 49th St,Seattle,WA,King,Seattle,Non-profit,98103,www.stbens.net
-122.320114340064,47.6911205915463,66,St. Catherine of Siena School,8524 8th Ave NE,Seattle,WA,King,Seattle,Non-profit,98115,www.stcatherineschool.net
-122.316411414177,47.555866122392,67,St. George Parish School,5117 13th Ave S,Seattle,WA,King,Seattle,Non-profit,98108,www.saintgeorgeseattle.org
-122.357634550066,47.6863941391941,68,St. John Catholic School,120 N 79th Street,Seattle,WA,King,Seattle,Non-profit,98103,www.st-johnschool.org
-122.308276676453,47.6254781836406,69,St. Joseph School,700 18th Avenue East,Seattle,WA,King,Seattle,Non-profit,98112,www.stjosephsea.org
-122.313924798268,47.7215454135796,70,St. Matthew School,1230 NE 127th St,Seattle,WA,King,Seattle,Non-profit,98125,www.stmattschool.org
-122.288002755668,47.6111841946499,71,St. Therese Catholic Academy,900 35th Ave,Seattle,WA,King,Seattle,Non-profit,98122,www.stcaseattle.org
-122.387874102423,47.5219044103966,72,Taproot School,9131 California Ave SW,Seattle,WA,King,Seattle,For profit,98136,www.taprootschool.org
-122.36753821414,47.5108353586651,73,The Bridge School,10300 28th Ave SW,Seattle,WA,King,Highline,Non-profit,98146,bridgeschoolcoop.org
-122.288792877504,47.622907283369,74,The Bush School,3400 E Harrison Street,Seattle,WA,King,Seattle,Non-profit,98112,www.bush.edu
-122.353778916012,47.6199979006768,75,The Downtown School: A Lakeside School,160 John Street,Seattle,WA,King,Seattle,Non-profit,98109,www.downtownschoolseattle.org
-122.308128819097,47.6161676469508,76,The Hatch School,1625 19th Ave,Seattle,WA,King,Seattle Public Schools,Non-profit,98122,www.thehatchschool.org
-122.285361356298,47.5749865290112,77,The Lake and Park School,3201 Hunter Blvd S,Seattle,WA,King,Seattle,Non-profit,98144,www.lakeandparkschool.org
-122.331178474172,47.6641011027029,78,The Meridian School,"4649 Sunnyside Ave N, Suite 242",Seattle,WA,King,Seattle,Non-profit,98103,www.meridianschool.edu
-122.325942328662,47.613391067871,79,The Northwest School,1415 Summit Avenue,Seattle,WA,King,Seattle,Non-profit,98122,www.northwestschool.org
-122.31806523479,47.6942198582917,80,The Perkins School,9005 Roosevelt Way NE,Seattle,WA,King,Seattle,Non-profit,98115,http://www.theperkinsschool.org
-122.32156581002,47.7088200859791,81,The Polytech,"540 NE Northgate Way, Suite D",Seattle,WA,King,Seattle,For profit,98125,https://thepolytech.com
-122.292954399766,47.6218967328318,82,The Valley School,318 30th Ave E,Seattle,WA,King,Seattle,Non-profit,98112,www.thevalleyschool.org
-122.273409837347,47.6636423217397,83,The Villa Academy,5001 NE 50th Street,Seattle,WA,King,Seattle,Non-profit,98105,www.thevilla.org
-122.38719025203,47.5661485891324,84,Tilden School,4105 California Ave SW,Seattle,WA,King,Seattle,Non-profit,98116,tildenschool.org
-122.26840426815,47.553866730974,85,Torah Academy of the Pacific Northwest,5305 52nd Ave S,Seattle,WA,King,Seattle,Non-profit,98118,www.torahacademypn.org
-122.312177207126,47.5622445353205,86,Torah Day School of Seattle,1625 S Columbian Way,Seattle,WA,King,Seattle,Non-profit,98108,tdsseattle.org
-122.318178015698,47.6666485930022,87,University Child Development School,5062 9th Ave NE,Seattle,WA,King,Seattle,Non-profit,98105,www.ucds.org
-122.313360345023,47.669654042366,88,University Cooperative School,5601 University Ave NE,Seattle,WA,King,Seattle,Non-profit,98105,www.ucoopschool.org
-122.300132912135,47.6869988403111,89,University Prep,8000 25th Ave NE,Seattle,WA,King,Seattle,Non-profit,98115,www.universityprep.org
-122.354287596204,47.5022400061836,90,West Seattle Montessori School,11215 15th Ave SW,Seattle,WA,King,Highline,For profit,98146,www.westseattlemontessori.com
-122.37395195208,47.5095926213235,91,Westside School,10404 34th Ave SW,Seattle,WA,King,Seattle,Non-profit,98146,www.westsideschool.org
